,location,city,latitude,longitude
780,F-7,Islamabad,33.720413,73.056493
781,Bani Gala,Islamabad,33.720252661095,73.184051513672
782,DHA Defence,Islamabad,33.523069864665,73.166381120682
783,G-10,Islamabad,33.678711,73.021395
784,Bahria Town,Islamabad,33.685404,73.226559
786,Jhang Syedan,Islamabad,33.643982,73.20804
787,I-8,Islamabad,33.662782,73.077793
788,Korang Town,Islamabad,33.580231478819,73.145164847374
789,G-15,Islamabad,33.626913,72.924328
790,G-10,Islamabad,33.676103999999995,73.01384200000001
791,DHA Defence,Islamabad,33.536959,73.17541800000001
794,Bhara kahu,Islamabad,33.728705867059,73.176861517131
795,Ghauri Town,Islamabad,33.61855,73.13547
796,D-17,Islamabad,33.657138,72.858281
798,Arsalan Town,Islamabad,33.642491,73.213663
799,Kashmir Highway,Islamabad,33.651923,72.985343
800,I-10,Islamabad,33.646421000000004,73.045263
801,B-17,Islamabad,33.674514962216,72.82681345939599
802,Soan Garden,Islamabad,33.557993976745,73.161885067821
804,Pir Sohawa,Islamabad,33.806977,73.128156
811,B-17,Islamabad,33.686369859332,72.81568698585001
812,F-8,Islamabad,33.716665,73.042209
817,Paradise Valley,Faisalabad,31.473035,73.195024
818,Ghulam Mohammad Abad,Faisalabad,31.44082,73.043532
819,Usman Town,Faisalabad,31.463279724121,73.09718322753899
821,Zulfiqar Colony,Faisalabad,31.387106,73.08827
822,Madina Town,Faisalabad,31.41764,73.120401
823,Gulshan-e-Rafique,Faisalabad,31.374964,73.06499699999999
824,Rachna Town,Faisalabad,31.390572,73.1158
825,Eden Valley,Faisalabad,31.436062,73.15459
826,Ghalib City,Faisalabad,31.421539000000003,73.14799000000001
827,Sargodha Road,Faisalabad,31.444042,73.088565
828,Samundari Road,Faisalabad,31.34583,73.06851999999999
830,Jaranwala,Faisalabad,31.32571407953,73.421204052866
831,Peoples Colony No 2,Faisalabad,31.395993,73.106961
832,Wapda City,Faisalabad,31.507069,73.22309
833,Satiana Road,Faisalabad,31.37861,73.129245
834,Hilal Road,Faisalabad,31.38635,73.09943
835,Yousaf Town,Faisalabad,31.3918552811,73.114590011537
836,Usman Town,Faisalabad,31.457935,73.09411
837,Jail Road,Faisalabad,31.435240616906,73.063445985317
838,Gulbahar Colony,Faisalabad,31.399473044549,73.105419874191
839,Lasani Town,Faisalabad,31.463701,73.07727
840,Shahzad Colony,Faisalabad,31.395879,73.111181
841,Narwala Road,Faisalabad,31.440014,73.022161
842,Chaklala Scheme,Rawalpindi,33.656924,73.143826
845,Khayaban-e-Sir Syed,Rawalpindi,33.635240484949,73.041763007641
848,Bahria Town Rawalpindi,Rawalpindi,33.505403,73.073587
849,Bahria Town Rawalpindi,Rawalpindi,33.505618,73.078866
850,Bahria Town Rawalpindi,Rawalpindi,33.570809767705995,73.117478389002
851,Bahria Town Rawalpindi,Rawalpindi,33.531951,73.115215
853,Westridge,Rawalpindi,33.614905,73.02319
854,Gulbahar Scheme,Rawalpindi,33.588932,73.12682099999999
856,Gulistan Colony,Rawalpindi,33.56904,73.0953
857,Adiala Road,Rawalpindi,33.51963,73.048
858,Airport Housing Society,Rawalpindi,33.584261,73.121663
862,Satellite Town,Rawalpindi,33.641205,73.06577
865,Peshawar Road,Rawalpindi,33.602664000000004,73.03019599999999
